	Date	Conf_ID	G	FGA	FG%	2PA	2P%	3PA	3P%	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	PTS/G	WL	WLC	Conf_ID.1	G.1	FGA.1	FG%.1	2PA.1	2P%.1	3PA.1	3P%.1	FTA.1	FT%.1	ORB.1	DRB.1	TRB.1	AST.1	STL.1	BLK.1	TOV.1	PF.1	PTS.1	PTS/G.1	WL.1	WLC.1
0	2019	1	36.0	2019	0.43799999999999994	938	0.537	1081	0.35200000000000004	695	0.728	368	885	1253	503	194	106	388	580	2654	73.7	0.722	0.722	1	33.0	1934	0.445	1107	0.514	827	0.353	488	0.738	288	771	1059	434	193	62	359	593	2374	71.9	0.485	0.389
1	2019	1	36.0	2019	0.43799999999999994	938	0.537	1081	0.35200000000000004	695	0.728	368	885	1253	503	194	106	388	580	2654	73.7	0.722	0.722	1	33.0	2017	0.44299999999999995	1260	0.496	757	0.355	771	0.737	350	949	1299	542	198	131	443	581	2625	79.5	0.5760000000000001	0.5
2	2019	1	36.0	2019	0.43799999999999994	938	0.537	1081	0.35200000000000004	695	0.728	368	885	1253	503	194	106	388	580	2654	73.7	0.722	0.722	1	34.0	1973	0.423	1283	0.475	690	0.326	771	0.691	399	842	1241	491	253	136	445	600	2428	71.4	0.529	0.389
3	2019	1	36.0	2019	0.43799999999999994	938	0.537	1081	0.35200000000000004	695	0.728	368	885	1253	503	194	106	388	580	2654	73.7	0.722	0.722	1	34.0	2100	0.45	1291	0.507	809	0.35700000000000004	620	0.7190000000000001	264	855	1119	472	302	111	357	650	2623	77.1	0.618	0.444
4	2019	1	36.0	2019	0.43799999999999994	938	0.537	1081	0.35200000000000004	695	0.728	368	885	1253	503	194	106	388	580	2654	73.7	0.722	0.722	1	35.0	1977	0.466	1237	0.547	740	0.331	644	0.679	371	911	1282	519	190	128	450	550	2526	72.2	0.5429999999999999	0.5
5	2019	1	36.0	2019	0.43799999999999994	938	0.537	1081	0.35200000000000004	695	0.728	368	885	1253	503	194	106	388	580	2654	73.7	0.722	0.722	1	34.0	2021	0.439	1280	0.506	741	0.324	697	0.706	361	852	1213	459	235	132	423	638	2508	73.8	0.588	0.5
6	2019	1	36.0	2019	0.43799999999999994	938	0.537	1081	0.35200000000000004	695	0.728	368	885	1253	503	194	106	388	580	2654	73.7	0.722	0.722	1	36.0	2143	0.47100000000000003	1440	0.5329999999999999	703	0.34299999999999997	773	0.727	396	950	1346	513	227	117	488	630	2821	78.4	0.528	0.389
7	2019	1	36.0	2019	0.43799999999999994	938	0.537	1081	0.35200000000000004	695	0.728	368	885	1253	503	194	106	388	580	2654	73.7	0.722	0.722	1	35.0	2044	0.479	1083	0.561	961	0.387	582	0.679	288	907	1195	561	237	92	464	580	2727	77.9	0.5710000000000001	0.5
8	2019	1	36.0	2019	0.43799999999999994	938	0.537	1081	0.35200000000000004	695	0.728	368	885	1253	503	194	106	388	580	2654	73.7	0.722	0.722	1	34.0	1969	0.45399999999999996	1147	0.5	822	0.38799999999999996	692	0.757	331	961	1292	456	168	145	467	635	2629	77.3	0.706	0.667
9	2019	1	33.0	1934	0.445	1107	0.514	827	0.353	488	0.738	288	771	1059	434	193	62	359	593	2374	71.9	0.485	0.389	1	33.0	2017	0.44299999999999995	1260	0.496	757	0.355	771	0.737	350	949	1299	542	198	131	443	581	2625	79.5	0.5760000000000001	0.5
10	2019	1	33.0	1934	0.445	1107	0.514	827	0.353	488	0.738	288	771	1059	434	193	62	359	593	2374	71.9	0.485	0.389	1	34.0	1973	0.423	1283	0.475	690	0.326	771	0.691	399	842	1241	491	253	136	445	600	2428	71.4	0.529	0.389
11	2019	1	33.0	1934	0.445	1107	0.514	827	0.353	488	0.738	288	771	1059	434	193	62	359	593	2374	71.9	0.485	0.389	1	34.0	2100	0.45	1291	0.507	809	0.35700000000000004	620	0.7190000000000001	264	855	1119	472	302	111	357	650	2623	77.1	0.618	0.444
12	2019	1	33.0	1934	0.445	1107	0.514	827	0.353	488	0.738	288	771	1059	434	193	62	359	593	2374	71.9	0.485	0.389	1	35.0	1977	0.466	1237	0.547	740	0.331	644	0.679	371	911	1282	519	190	128	450	550	2526	72.2	0.5429999999999999	0.5
13	2019	1	33.0	1934	0.445	1107	0.514	827	0.353	488	0.738	288	771	1059	434	193	62	359	593	2374	71.9	0.485	0.389	1	34.0	2021	0.439	1280	0.506	741	0.324	697	0.706	361	852	1213	459	235	132	423	638	2508	73.8	0.588	0.5
14	2019	1	33.0	1934	0.445	1107	0.514	827	0.353	488	0.738	288	771	1059	434	193	62	359	593	2374	71.9	0.485	0.389	1	36.0	2143	0.47100000000000003	1440	0.5329999999999999	703	0.34299999999999997	773	0.727	396	950	1346	513	227	117	488	630	2821	78.4	0.528	0.389
15	2019	1	33.0	1934	0.445	1107	0.514	827	0.353	488	0.738	288	771	1059	434	193	62	359	593	2374	71.9	0.485	0.389	1	35.0	2044	0.479	1083	0.561	961	0.387	582	0.679	288	907	1195	561	237	92	464	580	2727	77.9	0.5710000000000001	0.5
16	2019	1	33.0	1934	0.445	1107	0.514	827	0.353	488	0.738	288	771	1059	434	193	62	359	593	2374	71.9	0.485	0.389	1	34.0	1969	0.45399999999999996	1147	0.5	822	0.38799999999999996	692	0.757	331	961	1292	456	168	145	467	635	2629	77.3	0.706	0.667
17	2019	1	33.0	2017	0.44299999999999995	1260	0.496	757	0.355	771	0.737	350	949	1299	542	198	131	443	581	2625	79.5	0.5760000000000001	0.5	1	34.0	1973	0.423	1283	0.475	690	0.326	771	0.691	399	842	1241	491	253	136	445	600	2428	71.4	0.529	0.389
18	2019	1	33.0	2017	0.44299999999999995	1260	0.496	757	0.355	771	0.737	350	949	1299	542	198	131	443	581	2625	79.5	0.5760000000000001	0.5	1	34.0	2100	0.45	1291	0.507	809	0.35700000000000004	620	0.7190000000000001	264	855	1119	472	302	111	357	650	2623	77.1	0.618	0.444
19	2019	1	33.0	2017	0.44299999999999995	1260	0.496	757	0.355	771	0.737	350	949	1299	542	198	131	443	581	2625	79.5	0.5760000000000001	0.5	1	35.0	1977	0.466	1237	0.547	740	0.331	644	0.679	371	911	1282	519	190	128	450	550	2526	72.2	0.5429999999999999	0.5
20	2019	1	33.0	2017	0.44299999999999995	1260	0.496	757	0.355	771	0.737	350	949	1299	542	198	131	443	581	2625	79.5	0.5760000000000001	0.5	1	34.0	2021	0.439	1280	0.506	741	0.324	697	0.706	361	852	1213	459	235	132	423	638	2508	73.8	0.588	0.5
21	2019	1	33.0	2017	0.44299999999999995	1260	0.496	757	0.355	771	0.737	350	949	1299	542	198	131	443	581	2625	79.5	0.5760000000000001	0.5	1	36.0	2143	0.47100000000000003	1440	0.5329999999999999	703	0.34299999999999997	773	0.727	396	950	1346	513	227	117	488	630	2821	78.4	0.528	0.389
22	2019	1	33.0	2017	0.44299999999999995	1260	0.496	757	0.355	771	0.737	350	949	1299	542	198	131	443	581	2625	79.5	0.5760000000000001	0.5	1	35.0	2044	0.479	1083	0.561	961	0.387	582	0.679	288	907	1195	561	237	92	464	580	2727	77.9	0.5710000000000001	0.5
23	2019	1	33.0	2017	0.44299999999999995	1260	0.496	757	0.355	771	0.737	350	949	1299	542	198	131	443	581	2625	79.5	0.5760000000000001	0.5	1	34.0	1969	0.45399999999999996	1147	0.5	822	0.38799999999999996	692	0.757	331	961	1292	456	168	145	467	635	2629	77.3	0.706	0.667
24	2019	1	34.0	1973	0.423	1283	0.475	690	0.326	771	0.691	399	842	1241	491	253	136	445	600	2428	71.4	0.529	0.389	1	34.0	2100	0.45	1291	0.507	809	0.35700000000000004	620	0.7190000000000001	264	855	1119	472	302	111	357	650	2623	77.1	0.618	0.444
25	2019	1	34.0	1973	0.423	1283	0.475	690	0.326	771	0.691	399	842	1241	491	253	136	445	600	2428	71.4	0.529	0.389	1	35.0	1977	0.466	1237	0.547	740	0.331	644	0.679	371	911	1282	519	190	128	450	550	2526	72.2	0.5429999999999999	0.5
26	2019	1	34.0	1973	0.423	1283	0.475	690	0.326	771	0.691	399	842	1241	491	253	136	445	600	2428	71.4	0.529	0.389	1	34.0	2021	0.439	1280	0.506	741	0.324	697	0.706	361	852	1213	459	235	132	423	638	2508	73.8	0.588	0.5
27	2019	1	34.0	1973	0.423	1283	0.475	690	0.326	771	0.691	399	842	1241	491	253	136	445	600	2428	71.4	0.529	0.389	1	36.0	2143	0.47100000000000003	1440	0.5329999999999999	703	0.34299999999999997	773	0.727	396	950	1346	513	227	117	488	630	2821	78.4	0.528	0.389
28	2019	1	34.0	1973	0.423	1283	0.475	690	0.326	771	0.691	399	842	1241	491	253	136	445	600	2428	71.4	0.529	0.389	1	35.0	2044	0.479	1083	0.561	961	0.387	582	0.679	288	907	1195	561	237	92	464	580	2727	77.9	0.5710000000000001	0.5
29	2019	1	34.0	1973	0.423	1283	0.475	690	0.326	771	0.691	399	842	1241	491	253	136	445	600	2428	71.4	0.529	0.389	1	34.0	1969	0.45399999999999996	1147	0.5	822	0.38799999999999996	692	0.757	331	961	1292	456	168	145	467	635	2629	77.3	0.706	0.667
