	First_Team	Second_Team	Probability_First_Team
0	villanova	butler	0.85
1	villanova	georgetown	0.77
2	villanova	providence	0.9
3	villanova	st-johns-ny	0.89
4	villanova	xavier	0.62
5	villanova	seton-hall	0.92
6	villanova	depaul	0.46
7	villanova	creighton	0.66
8	villanova	marquette	0.56
9	butler	georgetown	0.5
10	butler	providence	0.61
11	butler	st-johns-ny	0.65
12	butler	xavier	0.14
13	butler	seton-hall	0.64
14	butler	depaul	0.18
15	butler	creighton	0.21
16	butler	marquette	0.36
17	georgetown	providence	0.53
18	georgetown	st-johns-ny	0.59
19	georgetown	xavier	0.22
20	georgetown	seton-hall	0.56
21	georgetown	depaul	0.24
22	georgetown	creighton	0.32
23	georgetown	marquette	0.26
24	providence	st-johns-ny	0.76
25	providence	xavier	0.37
26	providence	seton-hall	0.82
27	providence	depaul	0.26
28	providence	creighton	0.43
29	providence	marquette	0.47
30	st-johns-ny	xavier	0.46
31	st-johns-ny	seton-hall	0.81
32	st-johns-ny	depaul	0.35
33	st-johns-ny	creighton	0.5
34	st-johns-ny	marquette	0.47
35	xavier	seton-hall	0.89
36	xavier	depaul	0.39
37	xavier	creighton	0.55
38	xavier	marquette	0.46
39	seton-hall	depaul	0.34
40	seton-hall	creighton	0.47
41	seton-hall	marquette	0.45
42	depaul	creighton	0.52
43	depaul	marquette	0.35
44	creighton	marquette	0.51
45	wisconsin	maryland	0.63
46	wisconsin	michigan-state	0.08
47	wisconsin	iowa	0.34
48	wisconsin	purdue	0.12
49	wisconsin	ohio-state	0.5
50	wisconsin	indiana	0.41
51	wisconsin	illinois	0.89
52	wisconsin	michigan	0.13
53	wisconsin	minnesota	0.25
54	wisconsin	northwestern	0.9
55	wisconsin	nebraska	0.44
56	wisconsin	penn-state	0.9
57	wisconsin	rutgers	0.96
58	maryland	michigan-state	0.07
59	maryland	iowa	0.35
60	maryland	purdue	0.12
61	maryland	ohio-state	0.48
62	maryland	indiana	0.4
63	maryland	illinois	0.73
64	maryland	michigan	0.13
65	maryland	minnesota	0.32
66	maryland	northwestern	0.78
67	maryland	nebraska	0.48
68	maryland	penn-state	0.78
69	maryland	rutgers	0.83
70	michigan-state	iowa	0.96
71	michigan-state	purdue	0.88
72	michigan-state	ohio-state	0.93
73	michigan-state	indiana	0.94
74	michigan-state	illinois	0.9
75	michigan-state	michigan	0.85
76	michigan-state	minnesota	0.96
77	michigan-state	northwestern	0.93
78	michigan-state	nebraska	0.94
79	michigan-state	penn-state	0.91
80	michigan-state	rutgers	0.95
81	iowa	purdue	0.08
82	iowa	ohio-state	0.59
83	iowa	indiana	0.45
84	iowa	illinois	0.9
85	iowa	michigan	0.11
86	iowa	minnesota	0.32
87	iowa	northwestern	0.91
88	iowa	nebraska	0.47
89	iowa	penn-state	0.92
90	iowa	rutgers	0.97
91	purdue	ohio-state	0.64
92	purdue	indiana	0.57
93	purdue	illinois	0.87
94	purdue	michigan	0.35
95	purdue	minnesota	0.43
96	purdue	northwestern	0.89
97	purdue	nebraska	0.58
98	purdue	penn-state	0.93
99	purdue	rutgers	0.97
100	ohio-state	indiana	0.44
101	ohio-state	illinois	0.87
102	ohio-state	michigan	0.09
103	ohio-state	minnesota	0.29
104	ohio-state	northwestern	0.9
105	ohio-state	nebraska	0.47
106	ohio-state	penn-state	0.91
107	ohio-state	rutgers	0.96
108	indiana	illinois	0.88
109	indiana	michigan	0.11
110	indiana	minnesota	0.31
111	indiana	northwestern	0.89
112	indiana	nebraska	0.48
113	indiana	penn-state	0.89
114	indiana	rutgers	0.95
115	illinois	michigan	0.11
116	illinois	minnesota	0.05
117	illinois	northwestern	0.81
118	illinois	nebraska	0.15
119	illinois	penn-state	0.83
120	illinois	rutgers	0.88
121	michigan	minnesota	0.45
122	michigan	northwestern	0.76
123	michigan	nebraska	0.51
124	michigan	penn-state	0.76
125	michigan	rutgers	0.82
126	minnesota	northwestern	0.9
127	minnesota	nebraska	0.41
128	minnesota	penn-state	0.9
129	minnesota	rutgers	0.96
130	northwestern	nebraska	0.11
131	northwestern	penn-state	0.14
132	northwestern	rutgers	0.14
133	nebraska	penn-state	0.88
134	nebraska	rutgers	0.95
135	penn-state	rutgers	0.13
136	virginia	duke	0.56
137	virginia	notre-dame	0.82
138	virginia	louisville	0.73
139	virginia	north-carolina	0.55
140	virginia	miami-fl	0.93
141	virginia	north-carolina-state	0.65
142	virginia	syracuse	0.87
143	virginia	pittsburgh	0.92
144	virginia	clemson	0.88
145	virginia	florida-state	0.7
146	virginia	wake-forest	0.9
147	virginia	boston-college	0.92
148	virginia	georgia-tech	0.95
149	virginia	virginia-tech	0.66
150	duke	notre-dame	0.75
151	duke	louisville	0.71
152	duke	north-carolina	0.68
153	duke	miami-fl	0.81
154	duke	north-carolina-state	0.82
155	duke	syracuse	0.83
156	duke	pittsburgh	0.83
157	duke	clemson	0.8
158	duke	florida-state	0.83
159	duke	wake-forest	0.8
160	duke	boston-college	0.81
161	duke	georgia-tech	0.83
162	duke	virginia-tech	0.74
163	notre-dame	louisville	0.54
164	notre-dame	north-carolina	0.17
165	notre-dame	miami-fl	0.88
166	notre-dame	north-carolina-state	0.15
167	notre-dame	syracuse	0.76
168	notre-dame	pittsburgh	0.8
169	notre-dame	clemson	0.66
170	notre-dame	florida-state	0.16
171	notre-dame	wake-forest	0.86
172	notre-dame	boston-college	0.91
173	notre-dame	georgia-tech	0.94
174	notre-dame	virginia-tech	0.29
175	louisville	north-carolina	0.32
176	louisville	miami-fl	0.81
177	louisville	north-carolina-state	0.36
178	louisville	syracuse	0.71
179	louisville	pittsburgh	0.76
180	louisville	clemson	0.7
181	louisville	florida-state	0.41
182	louisville	wake-forest	0.74
183	louisville	boston-college	0.8
184	louisville	georgia-tech	0.82
185	louisville	virginia-tech	0.34
186	north-carolina	miami-fl	0.85
187	north-carolina	north-carolina-state	0.55
188	north-carolina	syracuse	0.82
189	north-carolina	pittsburgh	0.86
190	north-carolina	clemson	0.77
191	north-carolina	florida-state	0.61
192	north-carolina	wake-forest	0.8
193	north-carolina	boston-college	0.86
194	north-carolina	georgia-tech	0.88
195	north-carolina	virginia-tech	0.46
196	miami-fl	north-carolina-state	0.02
197	miami-fl	syracuse	0.25
198	miami-fl	pittsburgh	0.15
199	miami-fl	clemson	0.1
200	miami-fl	florida-state	0.04
201	miami-fl	wake-forest	0.15
202	miami-fl	boston-college	0.16
203	miami-fl	georgia-tech	0.18
204	miami-fl	virginia-tech	0.13
205	north-carolina-state	syracuse	0.87
206	north-carolina-state	pittsburgh	0.93
207	north-carolina-state	clemson	0.8
208	north-carolina-state	florida-state	0.26
209	north-carolina-state	wake-forest	0.88
210	north-carolina-state	boston-college	0.93
211	north-carolina-state	georgia-tech	0.95
212	north-carolina-state	virginia-tech	0.35
213	syracuse	pittsburgh	0.9
214	syracuse	clemson	0.78
215	syracuse	florida-state	0.2
216	syracuse	wake-forest	0.88
217	syracuse	boston-college	0.94
218	syracuse	georgia-tech	0.96
219	syracuse	virginia-tech	0.27
220	pittsburgh	clemson	0.56
221	pittsburgh	florida-state	0.03
222	pittsburgh	wake-forest	0.84
223	pittsburgh	boston-college	0.92
