	Date	Team	Team_ID	Conf	Conf_ID	G	MP	FG	FGA	FG%	2P	2PA	2P%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	PTS/G	WL	WLC	Team.1	Team_ID.1	Conf.1	Conf_ID.1	G.1	MP.1	FG.1	FGA.1	FG%.1	2P.1	2PA.1	2P%.1	3P.1	3PA.1	3P%.1	FT.1	FTA.1	FT%.1	ORB.1	DRB.1	TRB.1	AST.1	STL.1	BLK.1	TOV.1	PF.1	PTS.1	PTS/G.1	WL.1	WLC.1	Score	Score.1
0	2015	depaul	1007	big-east	1	32.0	6425.0	757	1739	.435	509	1034	.492	248	705	.352	458	635	.721	292	677	969	395	212	122	428	679	2220	69.4	.375	.333	creighton	1008	big-east	1	33.0	6700.0	746	1776	.420	484	1017	.476	262	759	.345	467	644	.725	348	791	1139	449	147	77	391	591	2221	67.3	.424	.222	63	78
1	2015	seton-hall	1006	big-east	1	31.0	6250.0	735	1745	.421	522	1136	.460	213	609	.350	436	664	.657	391	732	1123	384	185	127	385	595	2119	68.4	.516	.333	marquette	1009	big-east	1	32.0	6450.0	742	1699	.437	535	1097	.488	207	602	.344	392	608	.645	306	694	1000	479	241	111	402	505	2083	65.1	.406	.222	56	78
2	2015	xavier	1005	big-east	1	37.0	7525.0	956	2011	.475	722	1345	.537	234	666	.351	566	775	.730	364	918	1282	596	223	106	447	661	2712	73.3	.622	.500	butler	1001	big-east	1	34.0	6900.0	814	1882	.433	622	1342	.463	192	540	.356	526	767	.686	408	831	1239	387	217	103	376	592	2346	69.0	.676	.667	67	61
3	2015	georgetown	1002	big-east	1	33.0	6699.0	799	1753	.456	598	1184	.505	201	569	.353	541	769	.704	367	785	1152	427	251	156	415	668	2340	70.9	.667	.667	creighton	1008	big-east	1	33.0	6700.0	746	1776	.420	484	1017	.476	262	759	.345	467	644	.725	348	791	1139	449	147	77	391	591	2221	67.3	.424	.222	60	55
4	2015	villanova	1000	big-east	1	36.0	7250.0	916	1951	.470	590	1114	.530	326	837	.389	596	815	.731	371	864	1235	570	278	146	382	596	2754	76.5	.917	.889	marquette	1009	big-east	1	32.0	6450.0	742	1699	.437	535	1097	.488	207	602	.344	392	608	.645	306	694	1000	479	241	111	402	505	2083	65.1	.406	.222	84	49
5	2015	st-johns-ny	1004	big-east	1	33.0	6625.0	835	1890	.442	637	1321	.482	198	569	.348	475	687	.691	336	828	1164	408	246	210	352	587	2343	71.0	.636	.556	providence	1003	big-east	1	34.0	6850.0	828	1889	.438	657	1343	.489	171	546	.313	543	768	.707	411	817	1228	474	242	155	407	628	2370	69.7	.647	.611	57	74
6	2015	xavier	1005	big-east	1	37.0	7525.0	956	2011	.475	722	1345	.537	234	666	.351	566	775	.730	364	918	1282	596	223	106	447	661	2712	73.3	.622	.500	georgetown	1002	big-east	1	33.0	6699.0	799	1753	.456	598	1184	.505	201	569	.353	541	769	.704	367	785	1152	427	251	156	415	668	2340	70.9	.667	.667	65	63
7	2015	villanova	1000	big-east	1	36.0	7250.0	916	1951	.470	590	1114	.530	326	837	.389	596	815	.731	371	864	1235	570	278	146	382	596	2754	76.5	.917	.889	providence	1003	big-east	1	34.0	6850.0	828	1889	.438	657	1343	.489	171	546	.313	543	768	.707	411	817	1228	474	242	155	407	628	2370	69.7	.647	.611	63	61
8	2015	xavier	1005	big-east	1	37.0	7525.0	956	2011	.475	722	1345	.537	234	666	.351	566	775	.730	364	918	1282	596	223	106	447	661	2712	73.3	.622	.500	villanova	1000	big-east	1	36.0	7250.0	916	1951	.470	590	1114	.530	326	837	.389	596	815	.731	371	864	1235	570	278	146	382	596	2754	76.5	.917	.889	52	69
9	2015	rutgers	1023	big-ten	2	32.0	6401.0	687	1751	.392	535	1236	.433	152	515	.295	372	570	.653	359	759	1118	343	178	118	417	530	1898	59.3	.313	.111	minnesota	1019	big-ten	2	33.0	6651.0	890	1924	.463	647	1286	.503	243	638	.381	426	634	.672	352	735	1087	519	313	110	400	596	2449	74.2	.545	.333	68	80
10	2015	penn-state	1022	big-ten	2	34.0	6900.0	795	1893	.420	568	1214	.468	227	679	.334	456	656	.695	354	847	1201	336	206	138	414	692	2273	66.9	.529	.222	nebraska	1021	big-ten	2	31.0	6300.0	664	1613	.412	503	1047	.480	161	566	.284	416	588	.707	277	745	1022	315	192	90	389	581	1905	61.5	.419	.278	68	65
11	2015	michigan	1018	big-ten	2	32.0	6549.0	734	1724	.426	484	1028	.471	250	696	.359	353	468	.754	267	699	966	382	174	57	306	455	2071	64.7	.500	.444	illinois	1017	big-ten	2	33.0	6650.0	786	1903	.413	548	1233	.444	238	670	.355	471	593	.794	351	783	1134	389	208	105	328	577	2281	69.1	.576	.500	73	55
12	2015	northwestern	1020	big-ten	2	32.0	6525.0	727	1669	.436	499	1034	.483	228	635	.359	349	477	.732	277	775	1052	460	118	126	357	573	2031	63.5	.469	.333	indiana	1016	big-ten	2	34.0	6825.0	923	1989	.464	604	1203	.502	319	786	.406	468	651	.719	407	817	1224	473	170	108	392	606	2633	77.4	.588	.500	56	71
13	2015	penn-state	1022	big-ten	2	34.0	6900.0	795	1893	.420	568	1214	.468	227	679	.334	456	656	.695	354	847	1201	336	206	138	414	692	2273	66.9	.529	.222	iowa	1013	big-ten	2	34.0	6850.0	821	1905	.431	629	1329	.473	192	576	.333	538	723	.744	422	852	1274	482	218	158	377	536	2372	69.8	.647	.667	67	58
14	2015	ohio-state	1015	big-ten	2	35.0	7050.0	964	1995	.483	728	1358	.536	236	637	.370	471	693	.680	387	854	1241	534	266	178	396	563	2635	75.3	.686	.611	minnesota	1019	big-ten	2	33.0	6651.0	890	1924	.463	647	1286	.503	243	638	.381	426	634	.672	352	735	1087	519	313	110	400	596	2449	74.2	.545	.333	79	73
15	2015	maryland	1011	big-ten	2	35.0	7050.0	781	1777	.440	523	1090	.480	258	687	.376	597	790	.756	314	909	1223	376	169	151	431	584	2417	69.1	.800	.778	indiana	1016	big-ten	2	34.0	6825.0	923	1989	.464	604	1203	.502	319	786	.406	468	651	.719	407	817	1224	473	170	108	392	606	2633	77.4	.588	.500	75	69
16	2015	wisconsin	1010	big-ten	2	40.0	8050.0	1014	2115	.479	726	1325	.548	288	790	.365	584	765	.763	383	955	1338	504	174	127	296	501	2900	72.5	.900	.889	michigan	1018	big-ten	2	32.0	6549.0	734	1724	.426	484	1028	.471	250	696	.359	353	468	.754	267	699	966	382	174	57	306	455	2071	64.7	.500	.444	71	60
17	2015	ohio-state	1015	big-ten	2	35.0	7050.0	964	1995	.483	728	1358	.536	236	637	.370	471	693	.680	387	854	1241	534	266	178	396	563	2635	75.3	.686	.611	michigan-state	1012	big-ten	2	39.0	8025.0	1014	2181	.465	720	1418	.508	294	763	.385	451	714	.632	436	1022	1458	646	203	176	441	738	2773	71.1	.692	.667	67	76
18	2015	purdue	1014	big-ten	2	34.0	6876.0	827	1840	.449	632	1243	.508	195	597	.327	524	767	.683	409	840	1249	505	185	177	444	642	2375	69.9	.618	.667	penn-state	1022	big-ten	2	34.0	6900.0	795	1893	.420	568	1214	.468	227	679	.334	456	656	.695	354	847	1201	336	206	138	414	692	2273	66.9	.529	.222	64	59
19	2015	michigan-state	1012	big-ten	2	39.0	8025.0	1014	2181	.465	720	1418	.508	294	763	.385	451	714	.632	436	1022	1458	646	203	176	441	738	2773	71.1	.692	.667	maryland	1011	big-ten	2	35.0	7050.0	781	1777	.440	523	1090	.480	258	687	.376	597	790	.756	314	909	1223	376	169	151	431	584	2417	69.1	.800	.778	62	58
20	2015	wisconsin	1010	big-ten	2	40.0	8050.0	1014	2115	.479	726	1325	.548	288	790	.365	584	765	.763	383	955	1338	504	174	127	296	501	2900	72.5	.900	.889	purdue	1014	big-ten	2	34.0	6876.0	827	1840	.449	632	1243	.508	195	597	.327	524	767	.683	409	840	1249	505	185	177	444	642	2375	69.9	.618	.667	71	51
21	2015	wisconsin	1010	big-ten	2	40.0	8050.0	1014	2115	.479	726	1325	.548	288	790	.365	584	765	.763	383	955	1338	504	174	127	296	501	2900	72.5	.900	.889	michigan-state	1012	big-ten	2	39.0	8025.0	1014	2181	.465	720	1418	.508	294	763	.385	451	714	.632	436	1022	1458	646	203	176	441	738	2773	71.1	.692	.667	80	69
22	2015	georgia-tech	1037	acc	3	31.0	6302.0	734	1800	.408	603	1309	.461	131	491	.267	363	560	.648	444	743	1187	362	177	104	394	516	1962	63.3	.387	.167	boston-college	1036	acc	3	32.0	6499.0	743	1668	.445	536	1030	.520	207	638	.324	412	584	.705	263	720	983	421	183	86	389	607	2105	65.8	.406	.222	65	66
