	Date	Visitor/Neutral	PTS	Home/Neutral	PTS.1	OT	Notes
0	2015	depaul	63	creighton	78		Big East First Round
1	2015	seton-hall	56	marquette	78		Big East First Round
2	2015	xavier	67	butler	61	OT	Big East Quarterfinal Round
3	2015	georgetown	60	creighton	55		Big East Quarterfinal Round
4	2015	villanova	84	marquette	49		Big East Quarterfinal Round
5	2015	st-johns-ny	57	providence	74		Big East Quarterfinal Round
6	2015	xavier	65	georgetown	63		Big East Semifinal Round
7	2015	villanova	63	providence	61		Big East Semifinal Round
8	2015	xavier	52	villanova	69		Big East Final Game
9	2015	rutgers	68	minnesota	80		Big Ten First Round
10	2015	penn-state	68	nebraska	65		Big Ten First Round
11	2015	michigan	73	illinois	55		Big Ten Second Round
12	2015	northwestern	56	indiana	71		Big Ten Second Round
13	2015	penn-state	67	iowa	58		Big Ten Second Round
14	2015	ohio-state	79	minnesota	73		Big Ten Second Round
15	2015	maryland	75	indiana	69		Big Ten Quarterfinal Round
16	2015	wisconsin	71	michigan	60		Big Ten Quarterfinal Round
17	2015	ohio-state	67	michigan-state	76		Big Ten Quarterfinal Round
18	2015	purdue	64	penn-state	59		Big Ten Quarterfinal Round
19	2015	michigan-state	62	maryland	58		Big Ten Semifinal Round
20	2015	wisconsin	71	purdue	51		Big Ten Semifinal Round
21	2015	wisconsin	80	michigan-state	69	OT	Big Ten Final Game
22	2015	georgia-tech	65	boston-college	66		ACC First Round
23	2015	wake-forest	80	virginia-tech	81		ACC First Round
24	2015	north-carolina	81	boston-college	63		ACC Second Round
25	2015	florida-state	76	clemson	73		ACC Second Round
26	2015	virginia-tech	49	miami-fl	59		ACC Second Round
27	2015	pittsburgh	70	north-carolina-state	81		ACC Second Round
28	2015	north-carolina-state	53	duke	77		ACC Quarterfinal Round
29	2015	virginia	58	florida-state	44		ACC Quarterfinal Round
30	2015	north-carolina	70	louisville	60		ACC Quarterfinal Round
31	2015	notre-dame	70	miami-fl	63		ACC Quarterfinal Round
32	2015	notre-dame	74	duke	64		ACC Semifinal Rouind
33	2015	virginia	67	north-carolina	71		ACC Semifinal Rouind
34	2015	notre-dame	90	north-carolina	82		ACC Final Game
35	2015	mississippi-state	68	auburn	74		SEC First Round
36	2015	south-carolina	63	missouri	54		SEC First Round
37	2015	florida	69	alabama	61		SEC Second Round
38	2015	texas-am	59	auburn	66		SEC Second Round
39	2015	south-carolina	60	mississippi	58		SEC Second Round
40	2015	vanderbilt	61	tennessee	67		SEC Second Round
41	2015	tennessee	72	arkansas	80		SEC Quarterfinal Round
42	2015	louisiana-state	70	auburn	73	OT	SEC Quarterfinal Round
43	2015	kentucky	64	florida	49		SEC Quarterfinal Round
44	2015	south-carolina	62	georgia	74		SEC Quarterfinal Round
45	2015	georgia	49	arkansas	60		SEC Semifinal Round
46	2015	kentucky	91	auburn	67		SEC Semifinal Round
47	2015	kentucky	78	arkansas	63		SEC Final Game
48	2015	southern-california	67	arizona-state	64		Pac-12 First Round
